feature,importances
tansho_odds_20,220303.71967244148
jockey_TrueSkill_horse_Glicko2_ranking,147558.08743190765
jockey_TrueSkill_max_horse_Glicko2_ranking,126013.83141374588
jockey_TrueSkill_min_horse_Glicko2_ranking,124305.31971824169
jockey_EloRating_horse_Glicko2,84682.13592910767
jockey_TrueSkill_horse_Glicko2_min,76603.84106302261
jockey_EloRating_horse_Glicko2_min,76135.66178035736
jockey_TrueSkill_max_horse_Glicko2,63844.29234087467
jockey_TrueSkill_min_horse_Glicko2_min,60581.19644570351
jockey_TrueSkill_horse_Glicko2,57461.967118024826
jockey_TrueSkill_max_horse_Glicko2_min,56706.84394836426
horse_EloRating_diff_from_last1_racing,50203.384749770164
jockey_TrueSkill_min_horse_Glicko2,46110.0185341835
horse_Glicko2_min_horse_Glicko2_max,32347.273794054985
tansho_odds_20_ranking,30375.862547636032
horse_Glicko2_horse_Glicko2_min,30341.321514964104
horse_Glicko2_min,26752.508553504944
horse_TrueSkill_jockey_TrueSkill_min,24596.929167985916
horse_TrueSkill_jockey_TrueSkill,23142.417448997498
horse_TrueSkill_jockey_TrueSkill_max,18769.420305132866
horse_Glicko2,17835.90493619442
past_pop_mean_grouped_class_code,16752.90572786331
horse_TrueSkill_max_horse_Glicko2_min,16657.106926441193
horse_TrueSkill_horse_Glicko2_min,14582.826878547668
lifetime_prize_per_race,13119.560918092728
horse_EloRating_horse_Glicko2_min,11197.673962593079
horse_TrueSkill_jockey_EloRating,10882.946765184402
horse_EloRating_diff_from_last3_racing,8761.200697302818
horse_win_rate3_field_type,8559.9772605896
horse_Glicko2_horse_Glicko2_max,8346.725948095322
jockey_TrueSkill_min_horse_Glicko2_max,8104.021360874176
jockey_TrueSkill_horse_Glicko2_max,7869.239267587662
past_pop_mean,7757.777181506157
horse_TrueSkill_horse_Glicko2,7334.0205817222595
horse_Glicko2_diff_from_last1_racing,7159.433884978294
horse_win_rate3_class_code,7045.269156217575
past_rank_mean_grouped_class_code,6999.735040664673
horse_win_rate_field_type,6965.312661409378
age,6544.531346440315
horse_Glicko2_diff_from_last3_racing,6348.535376667976
jockey_TrueSkill_max_horse_Glicko2_max,6103.943714857101
basis_weight_per_weight,5949.24095082283
horse_win_rate3_weight_code,5831.837671756744
all_win_rate3_father_field_type,5176.2458127737045
all_win_rate3_owner_class_code_field_type,4837.697050333023
past_rank_mean,4794.269828438759
horse_TrueSkill_min_horse_Glicko2_min,4792.046315193176
horse_win_rate3_age_code,4687.305256605148
horse_win_rate3_jockey_id_field_type,4664.911290407181
horse_Glicko2_max,4476.070199966431
age_type,4181.800433516502
horse_win_rate3_age_type,4156.470060110092
jockey_EloRating_horse_Glicko2_max,4115.7161428928375
all_win_rate3_mother_field_type,4063.7878972291946
horse_win_rate3_dist_type_class_code,3926.097976922989
all_prize_in_group_father_mother,3919.855676174164
past_last_3F_time_mean_grouped_dist,3915.4291117191315
horse_win_rate3_season_class_code,3889.6585549116135
horse_EloRating_horse_Glicko2,3776.5609831809998
horse_TrueSkill_diff_from_last1_racing,3730.8473834991455
all_win_rate3_mother_jockey_id,3486.179634809494
last_3F_time_mean_all,3481.607834339142
horse_TrueSkill_min_horse_Glicko2,3426.8397740125656
all_win_rate3_mother_class_code,3304.385109305382
past_last_3F_time_mean,3297.4863452911377
past_corner3_rank_mean,3242.5662298202515
past_last_3F_rank_mean_grouped_dist_type,3192.4440375566483
horse_TrueSkill_diff_from_last3_racing,3137.522411942482
all_win_rate_season_waku,3115.580087184906
all_win_rate3_father_broodmare_sire_jockey_id,3099.6159403324127
all_win_rate3_turn_type_field_type_place_waku,3015.4613320827484
horse_win_rate3_jockey_id,2978.332267999649
all_win_rate_father_field_type,2939.2183153629303
all_win_rate3_trainer_id_jockey_id_class_code_field_type,2815.951952934265
horse_Glicko2_RD,2813.021883249283
horse_TrueSkill_min_horse_TrueSkill_max,2793.1888465881348
horse_TrueSkill_horse_TrueSkill_min,2777.399969100952
all_win_rate3_field_type_place_waku,2774.1781492233276
逃げ_cumcount_past_racing,2738.379393339157
all_win_rate3_mother_track_code,2690.9180924892426
horse_TrueSkill_max_horse_Glicko2,2628.44788980484
last_3F_time_last_3,2627.281368970871
all_win_rate3_horse,2545.8136483430862
past_corner1_rank_mean,2503.3293401002884
last_3F_time_last_1,2496.32050549984
last_3F_time_last_2,2473.258005976677
past_corner2_rank_mean,2464.950423717499
all_win_rate_mother_field_type,2461.66801404953
past_last_3F_time_mean_grouped_dist_type,2422.975725531578
past_pop_mean_grouped_dist_type,2363.406909227371
horse_win_rate3_dist_class_code,2360.860037922859
weight_mean_last_1_to_3,2352.196776866913
all_win_rate3_mother_place_field_type,2344.986211180687
all_win_rate3_trainer_id_field_type,2316.9328929185867
all_win_rate3_father_track_code,2306.496229171753
weight_last_3,2270.914110183716
all_win_rate3_father_broodmare_sire_trainer_id,2259.426012992859
weight_last_1,2254.283592224121
last_3F_time_mean_last_1_to_3,2225.136127114296
weight,2223.454629421234
horse_win_rate3_trainer_id,2193.26990878582
all_win_rate3_trainer_id_class_code_field_type,2178.8396379947662
sex,2147.1740466356277
weight_last_2,2143.073417663574
weight_mean_all,2133.56063747406
all_win_rate_state_waku,2067.6089712381363
all_win_rate_trainer_id_place,2022.414080619812
all_win_rate3_state_waku,2007.821247935295
all_win_rate_trainer_id_field_type,1986.3791815042496
all_win_rate3_turn_type_waku,1964.1938691139221
中団_cumcount_past_racing,1937.90405523777
